,service,src_bytes,srv_count,result
82.0,-0.1,30,2,0
156.0,0.0,30,2,0
406.0,0.0,30,2,0
629.0,0.0,30,1,0
767.0,-0.1,30,1,0
813.0,0.0,1032,508,1
814.0,0.0,1032,509,1
815.0,0.0,1032,510,1
816.0,0.0,1032,510,1
817.0,0.0,1032,511,1
818.0,0.0,1032,511,1
819.0,0.0,1032,511,1
820.0,0.0,1032,506,1
821.0,0.0,1032,509,1
822.0,0.0,1032,509,1
823.0,0.0,1032,510,1
824.0,0.0,1032,511,1
825.0,0.0,1032,511,1
826.0,0.0,1032,511,1
827.0,0.0,1032,508,1
828.0,0.0,1032,509,1
829.0,0.0,1032,510,1
830.0,0.0,1032,510,1
831.0,0.0,1032,511,1
832.0,0.0,1032,511,1
833.0,0.0,1032,511,1
834.0,0.0,1032,504,1
835.0,0.0,1032,509,1
836.0,0.0,1032,510,1
837.0,0.0,1032,510,1
838.0,0.0,1032,511,1
839.0,0.0,1032,511,1
840.0,0.0,1032,511,1
841.0,0.0,1032,508,1
842.0,0.0,1032,509,1
843.0,0.0,1032,510,1
844.0,0.0,1032,510,1
845.0,0.0,1032,511,1
846.0,0.0,1032,511,1
847.0,0.0,1032,511,1
848.0,0.0,1032,509,1
849.0,0.0,1032,509,1
850.0,0.0,1032,510,1
851.0,0.0,1032,510,1
852.0,0.0,1032,511,1
853.0,0.0,1032,511,1
854.0,0.0,1032,511,1
855.0,0.0,1032,508,1
856.0,0.0,1032,509,1
857.0,0.0,1032,510,1
858.0,0.0,1032,510,1
859.0,0.0,1032,511,1
860.0,0.0,1032,511,1
861.0,0.0,1032,511,1
862.0,0.0,1032,509,1
863.0,0.0,1032,509,1
864.0,0.0,1032,510,1
865.0,0.0,1032,510,1
866.0,0.0,1032,511,1
867.0,0.0,1032,511,1
868.0,0.0,1032,504,1
869.0,0.0,1032,509,1
870.0,0.0,1032,509,1
871.0,0.0,1032,510,1
872.0,0.0,1032,511,1
873.0,0.0,1032,511,1
874.0,0.0,1032,511,1
875.0,0.0,1032,508,1
876.0,0.0,1032,509,1
877.0,0.0,1032,509,1
878.0,0.0,1032,510,1
879.0,0.0,1032,511,1
880.0,0.0,1032,511,1
881.0,0.0,1032,511,1
882.0,0.0,1032,494,1
883.0,0.0,1032,509,1
884.0,0.0,1032,509,1
885.0,0.0,1032,510,1
886.0,0.0,1032,510,1
887.0,0.0,1032,511,1
888.0,0.0,1032,511,1
889.0,0.0,1032,12,1
890.0,0.0,1032,509,1
891.0,0.0,1032,509,1
892.0,0.0,1032,510,1
893.0,0.0,1032,510,1
894.0,0.0,1032,511,1
895.0,0.0,1032,511,1
896.0,0.0,1032,511,1
897.0,0.0,1032,508,1
898.0,0.0,1032,509,1
899.0,0.0,1032,510,1
900.0,0.0,1032,510,1
901.0,0.0,1032,511,1
902.0,0.0,1032,511,1
903.0,0.0,1032,511,1
904.0,0.0,1032,508,1
905.0,0.0,1032,509,1
906.0,0.0,1032,510,1
907.0,0.0,1032,510,1
908.0,0.0,1032,511,1
909.0,0.0,1032,511,1
910.0,0.0,1032,403,1
911.0,0.0,1032,509,1
912.0,0.0,1032,509,1
913.0,0.0,1032,510,1
914.0,0.0,1032,511,1
915.0,0.0,1032,511,1
916.0,0.0,1032,511,1
917.0,0.0,1032,508,1
918.0,0.0,1032,509,1
919.0,0.0,1032,510,1
920.0,0.0,1032,510,1
921.0,0.0,1032,511,1
922.0,0.0,1032,511,1
923.0,0.0,1032,504,1
924.0,0.0,1032,509,1
925.0,0.0,1032,510,1
926.0,0.0,1032,510,1
927.0,0.0,1032,511,1
928.0,0.0,1032,511,1
929.0,0.0,1032,511,1
930.0,0.0,1032,405,1
931.0,0.0,1032,509,1
932.0,0.0,1032,509,1
933.0,0.0,1032,510,1
934.0,0.0,1032,510,1
935.0,0.0,1032,511,1
936.0,0.0,1032,511,1
937.0,0.0,1032,508,1
938.0,0.0,1032,509,1
939.0,0.0,1032,510,1
940.0,0.0,1032,510,1
941.0,0.0,1032,510,1
942.0,0.0,1032,511,1
943.0,0.0,1032,511,1
944.0,0.0,1032,508,1
945.0,0.0,1032,509,1
946.0,0.0,1032,510,1
947.0,0.0,1032,510,1
948.0,0.0,1032,511,1
949.0,0.0,1032,511,1
950.0,0.0,1032,504,1
951.0,0.0,1032,509,1
